Name,Yelp Rating,NYC Rating
fairfield-inn-and-suites-new-york-manhattan-fifth-avenue-new-york,4.0,10.0
bagel-express-new-york-4,4.0,33.81818181818182
conrad-new-york-hotel-new-york,4.0,10.25
thalassa-restaurant-new-york,3.5,15.72
smac-new-york,3.5,21.65671641791045
barraca-new-york,3.5,19.428571428571427
gotham-west-market-new-york,4.0,17.636363636363637
xian-famous-foods-new-york-3,4.0,3.5
fraiche-maxx-new-york,2.5,30.307692307692307
ling-kee-beef-jerky-new-york,4.5,14.636363636363637
a-salt-and-battery-new-york,3.5,8.933333333333334
coney-island-bar-and-grill-brooklyn,2.0,20.68421052631579
vegas-diner-brooklyn-2,3.0,23.72972972972973
ost-café-new-york-2,4.0,30.818181818181817
blackwells-pub-and-restaurant-new-york,3.5,10.0
the-jaguar-restaurant-manhattan,4.0,16.966666666666665
curry-kitchen-new-york,3.5,22.923076923076923
bambino-pizza-brooklyn,4.0,9.666666666666666
russian-and-turkish-baths-new-york,3.5,21.806451612903224
stage-star-deli-new-york,3.0,15.933333333333334
opal-bar-and-restaurant-new-york,3.0,30.133333333333333
pisillo-italian-panini-new-york,4.5,23.214285714285715
new-great-wall-chinese-restaurant-lyndhurst,3.0,17.166666666666668
crumbs-new-york-13,4.0,8.3
taqueria-lower-east-side-new-york,4.0,17.852941176470587
dyker-park-hot-bagels-brooklyn,4.0,13.928571428571429
third-and-vine-jersey-city-2,4.5,15.695652173913043
yummy-taco-brooklyn-inc-brooklyn,1.0,17.1
madiba-restaurant-brooklyn,3.5,11.0
a-and-c-kitchen-new-york-2,3.5,14.73913043478261
fritzls-lunch-box-brooklyn,3.5,15.043478260869565
epsteins-bar-new-york,3.5,12.916666666666666
lexington-bar-and-books-new-york,3.5,11.16
esquire-diner-ozone-park,3.0,18.304347826086957
francis-lewis-pastry-shoppe-flushing,3.0,9.5
big-booty-bread-co-new-york,3.5,14.653846153846153
grandmas-original-pizza-corporation-brooklyn,4.0,25.0
sombrero-new-york,2.0,10.461538461538462
empire-diner-new-york-2,3.5,30.727272727272727
joels-front-yard-steak-house-verona,3.0,15.148148148148149
pollos-a-la-brasa-mario-astoria,4.0,28.72340425531915
ipanema-restaurant-new-york,4.0,30.0
rosarios-pizza-new-york,3.5,12.0
sweet-little-bakery-ridgewood,4.5,0.0
oishii-sushi-japanese-restaurant-astoria-4,3.5,15.125
randolph-brooklyn-brooklyn,4.0,4.0
la-caleñita-bakery-elmhurst-2,3.0,23.85
gyro-greek-style-gravesend,3.5,8.142857142857142
norberts-pizza-brooklyn,3.0,7.545454545454546
kellys-sports-bar-new-york-2,3.0,8.0
shiny-tea-flushing,4.5,8.6
kpmg-llp-new-york,5.0,5.8
samurai-mama-brooklyn,4.0,20.7
johns-of-times-square-new-york-2,3.5,20.066666666666666
picholine-new-york,4.0,18.8125
remi-new-york,3.5,31.0
hundred-acres-new-york,3.5,11.76923076923077
sapphires-east-new-york,2.0,16.0
ground-central-new-york,4.0,2.0
city-cafe-brooklyn,3.0,23.126126126126128
pizza-on-the-run-brooklyn,3.5,12.657894736842104
korzo-brooklyn,4.0,19.307692307692307
la-bonne-soupe-new-york,3.5,30.513513513513512
spin-new-york-2,3.5,2.6666666666666665
el-toro-blanco-new-york,3.5,12.18918918918919
wallflower-new-york,4.5,13.375
cafe-everghreen-new-york,3.5,17.666666666666668
circle-in-the-square-theatre-new-york,4.0,0.6666666666666666
bobby-vans-steakhouse-new-york-11,3.5,23.360655737704917
opia-restaurant-new-york,3.0,14.55
rye-house-new-york,3.5,19.666666666666668
bradys-bar-new-york,3.5,8.2
king-garden-long-island-city,3.5,22.1
todd-english-food-hall-new-york,3.5,31.823529411764707
bread-and-tulips-new-york,3.5,25.64
the-village-den-restaurant-new-york,3.0,17.227272727272727
yohielo-new-york-2,3.5,21.77777777777778
alices-tea-cup-new-york,4.0,15.604166666666666
negril-village-new-york,3.5,46.0
whole-foods-market-new-york-8,4.0,10.681818181818182
jeanne-and-gaston-new-york,3.5,13.846153846153847
nsomnia-cookies-new-york,4.0,14.563106796116505
new-world-mall-food-court-flushing,4.0,16.64516129032258
the-quarter-new-york,3.5,24.11111111111111
porto-rico-importing-company-new-york-2,4.5,15.333333333333334
land-new-york,4.0,21.151515151515152
famous-sichuan-new-york,3.5,14.083333333333334
prosperity-dumpling-new-york,4.5,17.5
east-village-tavern-new-york,3.5,26.24137931034483
o-donoghues-pub-new-york,3.5,9.142857142857142
no-1-east-restaurant-flushing,3.5,17.346153846153847
tehuitzingo-new-york,4.0,22.333333333333332
almondine-bakery-brooklyn,4.0,23.533333333333335
tokyo-ya-sunset-park,4.0,12.0
auntie-annes-new-york-3,4.0,12.410714285714286
melani-pizzeria-new-york-2,4.0,13.0
m-star-cafe-new-york,3.5,10.80952380952381
el-tenampa-deli-grocery-brooklyn,4.5,27.026315789473685
santa-maria-restaurant-and-brick-oven-pizzeria-jersey-city,3.5,30.62962962962963
court-house-gourmet-deli-new-york,3.5,21.533333333333335
berikoni-bakery-brooklyn,3.5,14.0
don-pedros-new-york,3.5,28.782608695652176
hells-kitchen-new-york-2,4.0,13.45
aquagrill-new-york,4.5,17.46153846153846
heidelberg-restaurant-new-york,4.0,14.0
loews-regency-hotel-new-york-3,3.5,7.571428571428571
turco-mediterranean-grill-new-york,4.0,15.0
ippudo-ny-new-york,4.0,13.157894736842104
jade-asian-restaurant-and-caterer-flushing,3.5,13.095238095238095
oscars-place-new-york-2,4.0,17.428571428571427
god-bless-deli-brooklyn-2,4.5,4.0
chens-garden-brooklyn,5.0,24.5
pizza-superstar-brooklyn,4.0,7.0
nathans-famous-brooklyn,3.5,6.8
diamond-club-international-manhattan,5.0,19.846153846153847
babbo-ristorante-enoteca-new-york,4.0,15.827586206896552
fabianes-cafe-and-pastry-shop-brooklyn,3.5,13.16
sushi-of-gari-new-york,4.0,15.551724137931034
kun-sohn-korean-noodle-house-queens,5.0,20.0
organique-new-york,3.0,25.30188679245283
maggies-place-new-york,3.0,18.285714285714285
la-canela-restaurant-and-hookah-lounge-astoria,3.0,17.05
koi-soho-new-york,4.0,19.73913043478261
barking-dog-new-york,3.0,21.07843137254902
the-blarney-rock-pub-new-york,3.5,14.772727272727273
cafe-habana-new-york-4,4.0,3.0
mothers-bake-shop-bronx,4.0,25.641509433962263
casablanca-hotel-new-york-2,4.5,7.2
poke-new-york,4.0,13.631578947368421
bennies-thai-cafe-new-york-2,3.5,22.62162162162162
players-sports-restaurant-and-lounge-new-york,3.5,28.45614035087719
court-street-restaurant-and-bar-hoboken,4.0,13.789473684210526
alfanoose-middle-eastern-restaurant-new-york-39,3.5,14.125
fresh-and-co-new-york-16,4.0,17.0
ariels-bistro-new-york,4.0,15.26086956521739
il-palazzo-new-york-2,3.5,14.652173913043478
vera-cruz-brooklyn-8,3.0,26.390243902439025
hibiscus-restaurant-and-bar-south-richmond-hill,3.0,31.318181818181817
tomo-japanese-cuisine-jackson-heights,3.5,21.083333333333332
kiss-my-slice-pizzeria-new-york,4.5,13.0
maxin-bakery-flushing-3,4.0,9.11111111111111
the-plaza-food-hall-new-york,4.0,10.0
negril-village-new-york,3.5,19.857142857142858
sammys-roumanian-steakhouse-new-york,4.0,15.782608695652174
open-house-new-york,3.0,24.325581395348838
thanh-da-brooklyn,4.0,11.142857142857142
sushi-teria-new-york,3.5,15.466666666666667
mrs-kims-brooklyn,3.0,17.741935483870968
drom-new-york,3.0,21.57894736842105
paradou-new-york,3.0,24.770833333333332
txikito-new-york,3.5,14.423076923076923
la-adelita-restaurant-woodside,3.5,25.071428571428573
new-china-inn-rutherford,3.0,15.277777777777779
peppinos-brooklyn-2,4.5,14.76923076923077
ashbox-brooklyn,4.5,15.142857142857142
snack-new-york-2,4.0,18.444444444444443
marche-madison-new-york-3,2.5,24.733333333333334
muzzarella-pizza-new-york,3.5,22.023809523809526
mcdonalds-new-york-139,4.5,16.305940594059408
dennis-place-brooklyn,4.0,24.125
tea-bar-brooklyn-4,4.0,18.727272727272727
gyro-grill-rego-park,3.5,17.40909090909091
queen-bees-tavern-brooklyn,5.0,16.266666666666666
yu-king-bakery-brooklyn,3.0,18.65
cafe-de-novo-new-york,3.0,12.0
mémé-mediterranean-new-york-4,4.0,20.4
sage-general-store-long-island-city-2,3.5,17.441176470588236
simply-bakery-new-york-2,3.5,21.342105263157894
mile-end-delicatessen-brooklyn-brooklyn,3.5,19.866666666666667
drink-tea-new-york,4.0,6.6
lucia-pizza-flushing,4.5,12.166666666666666
jimmys-place-brooklyn,3.0,20.666666666666668
la-bruschetta-pizza-brooklyn,4.0,26.210526315789473
las-delicicias-peruanas-corona,4.0,23.285714285714285
taqueria-el-fogon-brooklyn,3.5,21.816326530612244
elmhurst-famous-pizza-elmhurst,3.5,13.130434782608695
the-mark-restaurant-by-jean-georges-new-york,3.5,4.666666666666667
salinas-ecuadorian-bar-and-restaurant-flushing,1.0,27.612244897959183
sheraton-jfk-airport-hotel-jamaica,3.0,21.73076923076923
spoons-cafe-brooklyn-2,2.5,23.454545454545453
min-jiang-jie-mini-cafe-brooklyn,4.5,24.08695652173913
barramundi-new-york,4.0,20.416666666666668
cuccios-bakery-brooklyn,4.0,15.767441860465116
wellness-island-weight-loss-center-brooklyn,5.0,9.3125
freemans-new-york-3,4.0,16.294117647058822
buschenschank-brooklyn-10,3.0,32.88461538461539
1020-bar-new-york,3.5,25.310344827586206
tufino-pizzeria-napoletana-astoria-28,4.0,22.304347826086957
bohemian-restaurant-new-york,4.5,27.379310344827587
773-lounge-brooklyn,4.0,25.658536585365855
orient-express-new-york-2,3.5,29.791666666666668
tandoor-oven-new-york,3.5,31.4
guyana-palm-court-jamaica-2,3.0,27.151515151515152
butterfield-8-new-york,3.0,15.23076923076923
juice-hugger-cafe-brooklyn-2,4.5,0.0
scarlatto-new-york,3.5,21.53846153846154
soho-room-new-york,3.0,18.0
broome-street-bar-new-york-2,3.5,16.375
asia-roma-new-york,3.5,24.105263157894736
frick-collection-new-york,4.5,18.782608695652176
charles-hansons-169-soul-jazz-oyster-bar-new-york,3.5,23.979166666666668
dominique-ansel-bakery-new-york,4.0,17.22222222222222
coneys-cones-brooklyn,3.5,9.944444444444445
gi-hin-mama-food-flushing,4.0,57.8
le-chéile-new-york-2,3.5,25.53125
three-jolly-pigeons-brooklyn-2,4.0,19.193548387096776
pinkberry-new-york-12,4.0,10.738317757009346
mckeowns-new-york,3.5,16.176470588235293
tori-o-tooles-flushing-2,3.5,21.894736842105264
alphaville-bushwick,4.0,26.5
shanghai-cafe-new-york-4,3.5,33.27777777777778
mcaleers-pub-new-york-2,3.5,19.770833333333332
hurleys-new-york-4,3.0,15.375
jpmorgan-chase-new-york,1.5,5.6
st-mazie-brooklyn-2,4.0,25.676470588235293
nawab-pakistani-indian-cuisine-yonkers,4.5,5.0
local-new-york-6,4.0,16.941176470588236
amore-pizzeria-and-restaurant-north-bergen,3.0,17.379310344827587
disfruta-new-york,4.5,21.70967741935484
1st-stop-new-york-2,3.0,20.375
crazy-willys-richmond-hill,4.0,38.47761194029851
the-dining-room-at-the-modern-new-york,4.0,13.590909090909092
everest-new-york-2,3.5,21.46551724137931
bangkok-thai-house-restaurant-brooklyn,3.5,11.764705882352942
dolphin-diner-fresh-meadows,2.5,30.68421052631579
sherwood-fine-foods-new-york,3.0,14.676470588235293
iron-horse-nyc-new-york,4.0,30.05
comic-strip-live-new-york-2,3.5,21.21212121212121
taqueria-el-maguey-brooklyn,4.5,8.0
sal-kris-and-charlies-deli-astoria,4.5,9.1
cafe-habana-new-york-4,4.0,12.2
bernard-b-jacobs-theatre-new-york,3.5,5.538461538461538
del-friscos-grille-new-york,4.0,13.846153846153847
dragon-land-bakery-new-york,3.5,23.135135135135137
jays-restaurant-jamaica,5.0,9.428571428571429
empire-city-casino-yonkers-2,2.5,16.7
stellas-coffee-shop-queens-village,4.0,17.21951219512195
tous-les-jours-new-york,3.5,26.093023255813954
el-barrio-restaurant-bakery-new-york,3.5,18.696969696969695
good-taste-long-island-city,3.5,11.454545454545455
triple-shot-world-atlas-cafe-long-island-city,3.5,8.25
