Customer Key	Name	Account Balance
213	Customer#000000213	9987.71
45	Customer#000000045	9983.38
1106	Customer#000001106	9977.62
200	Customer#000000200	9967.6
140	Customer#000000140	9963.15
381	Customer#000000381	9931.71
43	Customer#000000043	9904.28
100	Customer#000000100	9889.89
780	Customer#000000780	9874.12
518	Customer#000000518	9871.66
197	Customer#000000197	9860.22
219	Customer#000000219	9858.57
987	Customer#000000987	9850.64
1042	Customer#000001042	9849.87
468	Customer#000000468	9834.19
1370	Customer#000001370	9802.04
1479	Customer#000001479	9793.29
574	Customer#000000574	9787.56
1123	Customer#000001123	9786.36
1403	Customer#000001403	9782.34
1204	Customer#000001204	9777.19
1051	Customer#000001051	9776.39
919	Customer#000000919	9774.97
157	Customer#000000157	9768.73
601	Customer#000000601	9768.21
734	Customer#000000734	9750.71
487	Customer#000000487	9749.37
145	Customer#000000145	9748.93
1086	Customer#000001086	9726.83
592	Customer#000000592	9712.75
1478	Customer#000001478	9701.54
1026	Customer#000001026	9699.28
663	Customer#000000663	9698.21
1460	Customer#000001460	9680.51
606	Customer#000000606	9676.98
849	Customer#000000849	9670.64
279	Customer#000000279	9663.23
529	Customer#000000529	9647.58
1386	Customer#000001386	9643.87
810	Customer#000000810	9632.77
614	Customer#000000614	9630.24
1195	Customer#000001195	9621.49
768	Customer#000000768	9618.84
945	Customer#000000945	9615.39
950	Customer#000000950	9609.77
1022	Customer#000001022	9605.83
1198	Customer#000001198	9593.35
711	Customer#000000711	9591.51
251	Customer#000000251	9585.32
246	Customer#000000246	9584.96
691	Customer#000000691	9566.15
904	Customer#000000904	9562.82
7	Customer#000000007	9561.95
557	Customer#000000557	9559.04
218	Customer#000000218	9541.19
407	Customer#000000407	9537.08
188	Customer#000000188	9533.37
1130	Customer#000001130	9519.36
1167	Customer#000001167	9510.87
295	Customer#000000295	9497.89
1105	Customer#000001105	9491.46
82	Customer#000000082	9468.34
1441	Customer#000001441	9465.15
1312	Customer#000001312	9459.5
944	Customer#000000944	9454.78
441	Customer#000000441	9451.84
800	Customer#000000800	9443.39
649	Customer#000000649	9442.55
1485	Customer#000001485	9412.02
467	Customer#000000467	9398.51
1465	Customer#000001465	9365.93
1418	Customer#000001418	9359.01
303	Customer#000000303	9339.57
757	Customer#000000757	9334.82
63	Customer#000000063	9331.13
30	Customer#000000030	9321.01
1112	Customer#000001112	9314.59
731	Customer#000000731	9311.17
1464	Customer#000001464	9306.2
301	Customer#000000301	9305.05
156	Customer#000000156	9302.95
1308	Customer#000001308	9290.53
1177	Customer#000001177	9281.72
127	Customer#000000127	9280.71
1459	Customer#000001459	9270.88
1197	Customer#000001197	9261.05
24	Customer#000000024	9255.67
429	Customer#000000429	9247.21
336	Customer#000000336	9241.49
816	Customer#000000816	9239.32
562	Customer#000000562	9234.5
446	Customer#000000446	9225.6
304	Customer#000000304	9217.55
1175	Customer#000001175	9207.16
260	Customer#000000260	9196.11
540	Customer#000000540	9195.77
741	Customer#000000741	9195.41
